"u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
4.000000e+02,1,1,0.000000e+00,0.000000e+00,0.000000e+00
4.000000e+02,2,2,2.500000e-01,0.000000e+00,0.000000e+00
4.000000e+02,3,3,2.500000e-01,2.500000e-01,0.000000e+00
4.000000e+02,4,4,0.000000e+00,2.500000e-01,0.000000e+00
4.000000e+02,5,5,5.000000e-01,0.000000e+00,0.000000e+00
4.000000e+02,6,6,5.000000e-01,2.500000e-01,0.000000e+00
4.000000e+02,7,7,7.500000e-01,0.000000e+00,0.000000e+00
4.000000e+02,8,8,7.500000e-01,2.500000e-01,0.000000e+00
4.000000e+02,9,9,1.000000e+00,0.000000e+00,0.000000e+00
4.000000e+02,10,10,1.000000e+00,2.500000e-01,0.000000e+00
4.000000e+02,11,11,2.500000e-01,5.000000e-01,0.000000e+00
4.000000e+02,12,12,0.000000e+00,5.000000e-01,0.000000e+00
4.000000e+02,13,13,5.000000e-01,5.000000e-01,0.000000e+00
4.000000e+02,14,14,7.500000e-01,5.000000e-01,0.000000e+00
4.000000e+02,15,15,1.000000e+00,5.000000e-01,0.000000e+00
4.000000e+02,16,16,2.500000e-01,7.500000e-01,0.000000e+00
4.000000e+02,17,17,0.000000e+00,7.500000e-01,0.000000e+00
4.000000e+02,18,18,5.000000e-01,7.500000e-01,0.000000e+00
4.000000e+02,19,19,7.500000e-01,7.500000e-01,0.000000e+00
4.000000e+02,20,20,1.000000e+00,7.500000e-01,0.000000e+00
4.000000e+02,21,21,2.500000e-01,1.000000e+00,0.000000e+00
4.000000e+02,22,22,0.000000e+00,1.000000e+00,0.000000e+00
4.000000e+02,23,23,5.000000e-01,1.000000e+00,0.000000e+00
4.000000e+02,24,24,7.500000e-01,1.000000e+00,0.000000e+00
4.000000e+02,25,25,1.000000e+00,1.000000e+00,0.000000e+00
